Time,Temperature_F,DewPoint_F,Humidity,Wind,WindSpeed_mph,WindGust_mph,Pressure_in,Precip_in,Condition
2:00 PM,95,73,49,NW,8,0,29.70,0.0,Fair
2:30 PM,93,73,52,WNW,12,0,29.70,0.0,Fair
3:00 PM,95,75,53,W,10,0,29.67,0.0,Fair
3:30 PM,95,75,53,WNW,12,0,29.67,0.0,Fair
4:00 PM,95,75,53,WNW,10,0,29.67,0.0,Fair
4:30 PM,93,75,56,WNW,10,0,29.64,0.0,Fair
5:00 PM,93,77,59,NW,13,0,29.64,0.0,Fair
5:30 PM,93,77,59,NW,10,0,29.64,0.0,Fair
6:00 PM,93,77,59,WNW,9,0,29.64,0.0,Fair
6:30 PM,91,75,59,NW,10,0,29.67,0.0,Partly Cloudy
7:00 PM,90,79,70,SE,10,0,29.67,0.0,Mostly Cloudy
7:30 PM,88,77,70,WSW,17,0,29.73,0.0,Light Rain
8:00 PM,79,75,89,SSW,7,0,29.73,0.0,Light Rain
8:30 PM,79,75,89,NNE,13,0,29.73,0.0,Light Rain
9:00 PM,79,77,94,ENE,7,0,29.73,0.0,Partly Cloudy
9:30 PM,79,77,94,CALM,0,0,29.76,0.0,Partly Cloudy
10:00 PM,79,77,94,SSE,5,0,29.76,0.0,Partly Cloudy
10:30 PM,79,77,94,SE,6,0,29.76,0.0,Partly Cloudy
11:00 PM,79,77,94,SSE,3,0,29.79,0.0,Partly Cloudy
11:30 PM,79,77,94,SSE,5,0,29.76,0.0,Partly Cloudy
12:00 AM,81,77,89,CALM,0,0,29.76,0.0,Partly Cloudy
12:30 AM,81,79,94,CALM,0,0,29.76,0.0,Partly Cloudy
1:00 AM,81,79,94,CALM,0,0,29.76,0.0,Partly Cloudy
1:30 AM,82,79,89,NW,5,0,29.73,0.0,Partly Cloudy
2:00 AM,79,79,100,WNW,8,0,29.76,0.0,T-Storm
2:30 AM,79,79,100,NE,3,0,29.76,0.0,Light Rain
3:00 AM,79,79,100,CALM,0,0,29.73,0.0,Light Rain
3:30 AM,79,79,100,CALM,0,0,29.73,0.0,Mostly Cloudy
4:00 AM,79,79,100,CALM,0,0,29.73,0.0,Mostly Cloudy
4:30 AM,79,79,100,SSE,2,0,29.73,0.0,Mostly Cloudy
5:00 AM,79,79,100,CALM,0,0,29.73,0.0,Fair
5:30 AM,79,79,100,ESE,2,0,29.73,0.0,Fair
6:00 AM,79,79,100,SSE,2,0,29.73,0.0,Fair
6:30 AM,79,79,100,S,2,0,29.76,0.0,Fair
7:00 AM,82,79,89,WSW,7,0,29.76,0.0,Fair
7:30 AM,82,77,84,WSW,7,0,29.76,0.0,Fair
8:00 AM,82,77,84,WSW,7,0,29.76,0.0,Fair
8:30 AM,84,77,79,W,10,0,29.76,0.0,Fair
9:00 AM,86,77,74,W,9,0,29.76,0.0,Fair
9:30 AM,88,77,70,W,8,0,29.76,0.0,Fair
10:00 AM,88,75,66,W,10,0,29.76,0.0,Fair
10:30 AM,90,77,66,WSW,12,0,29.76,0.0,Fair
11:00 AM,90,77,66,W,10,0,29.76,0.0,Fair
11:30 AM,90,77,66,WNW,10,0,29.76,0.0,Fair
12:00 PM,90,77,66,W,9,0,29.76,0.0,Fair
12:30 PM,90,75,62,W,10,0,29.73,0.0,Partly Cloudy
1:00 PM,91,75,59,W,12,0,29.73,0.0,Partly Cloudy
1:30 PM,91,77,63,W,9,0,29.70,0.0,Partly Cloudy
2:00 PM,91,77,63,W,13,0,29.70,0.0,Partly Cloudy
2:30 PM,91,77,63,W,13,0,29.70,0.0,Partly Cloudy
3:00 PM,91,73,55,W,16,0,29.67,0.0,Partly Cloudy
3:30 PM,93,75,56,W,14,0,29.67,0.0,Partly Cloudy
4:00 PM,93,75,56,W,15,0,29.67,0.0,Mostly Cloudy
4:30 PM,84,77,79,SSW,16,0,29.67,0.0,Light Rain
5:00 PM,79,77,94,SW,14,0,29.70,0.0,Light Rain with Thunder
5:30 PM,81,75,84,WSW,18,31,29.73,0.0,Light Rain with Thunder
6:00 PM,77,75,94,SW,12,0,29.70,0.0,Light Rain
6:30 PM,79,75,89,S,5,0,29.70,0.0,Light Rain
7:00 PM,81,77,89,S,3,0,29.70,0.0,Light Rain
7:30 PM,81,79,94,SSW,7,0,29.73,0.0,Light Rain
8:00 PM,81,77,89,SSW,8,0,29.73,0.0,Light Rain
8:30 PM,81,77,89,SSW,8,0,29.76,0.0,Light Rain
9:00 PM,81,77,89,SSW,9,0,29.76,0.0,Mostly Cloudy
9:30 PM,81,77,89,SSW,9,0,29.79,0.0,Mostly Cloudy
10:00 PM,82,77,84,SSW,8,0,29.79,0.0,Mostly Cloudy
10:30 PM,82,77,84,SSW,7,0,29.79,0.0,Fair
11:00 PM,82,75,79,SSW,8,0,29.79,0.0,Fair
11:30 PM,82,75,79,SW,9,0,29.79,0.0,Fair
12:00 AM,82,75,79,SW,10,0,29.79,0.0,Fair
12:30 AM,82,75,79,WSW,8,0,29.76,0.0,Fair
1:00 AM,81,75,84,SW,8,0,29.76,0.0,Fair
1:30 AM,81,75,84,WSW,6,0,29.73,0.0,Fair
2:00 AM,81,75,84,SW,7,0,29.73,0.0,Fair
2:30 AM,81,75,84,SSW,5,0,29.73,0.0,Fair
3:00 AM,81,73,79,SSW,3,0,29.73,0.0,Fair
3:30 AM,81,75,84,SW,5,0,29.73,0.0,Fair
4:00 AM,81,75,84,W,7,0,29.73,0.0,Fair
4:30 AM,81,75,84,WSW,7,0,29.73,0.0,Fair
5:00 AM,81,75,84,WSW,6,0,29.73,0.0,Fair
5:30 AM,81,75,84,WSW,7,0,29.73,0.0,Fair
6:00 AM,81,75,84,WSW,6,0,29.73,0.0,Fair
6:30 AM,81,75,84,SW,7,0,29.76,0.0,Fair
7:00 AM,81,75,84,SW,8,0,29.76,0.0,Fair
7:30 AM,82,75,79,SW,7,0,29.76,0.0,Fair
8:00 AM,84,75,74,W,8,0,29.76,0.0,Fair
8:30 AM,86,75,70,WSW,7,0,29.76,0.0,Fair
9:00 AM,88,75,66,SSW,7,0,29.76,0.0,Fair
9:30 AM,88,75,66,WSW,8,0,29.76,0.0,Fair
10:00 AM,88,75,66,WSW,9,0,29.76,0.0,Fair
10:30 AM,88,75,66,W,12,0,29.76,0.0,Fair
11:00 AM,88,73,62,W,13,0,29.76,0.0,Fair
11:30 AM,91,75,59,W,14,0,29.76,0.0,Partly Cloudy
12:00 PM,90,75,62,WSW,15,0,29.73,0.0,Partly Cloudy
12:30 PM,91,75,59,W,13,0,29.73,0.0,Partly Cloudy
1:00 PM,91,75,59,W,14,0,29.70,0.0,Fair
1:30 PM,91,75,59,W,12,0,29.70,0.0,Fair
2:00 PM,91,75,59,W,15,0,29.70,0.0,Partly Cloudy
2:30 PM,91,75,59,W,14,0,29.67,0.0,Partly Cloudy
3:00 PM,91,75,59,W,15,0,29.67,0.0,Partly Cloudy
3:30 PM,93,75,56,W,15,0,29.67,0.0,Partly Cloudy
4:00 PM,93,75,56,W,15,0,29.64,0.0,Partly Cloudy
4:30 PM,91,75,59,W,10,0,29.64,0.0,Partly Cloudy
5:00 PM,91,75,59,WSW,12,0,29.64,0.0,Partly Cloudy
5:30 PM,91,75,59,W,10,0,29.64,0.0,Showers in the Vicinity
6:00 PM,81,75,84,SW,20,30,29.67,0.0,Rain
6:30 PM,81,77,89,WSW,14,0,29.67,0.0,Light Rain
7:00 PM,81,77,89,WNW,7,0,29.70,0.0,Light Rain
7:30 PM,82,77,84,WSW,9,0,29.70,0.0,Light Rain
8:00 PM,81,77,89,SSW,6,0,29.70,0.0,Partly Cloudy
8:30 PM,81,77,89,SW,6,0,29.70,0.0,Fair
9:00 PM,81,77,89,SSW,7,0,29.73,0.0,Fair
9:30 PM,81,77,89,SSW,6,0,29.73,0.0,Fair
10:00 PM,82,77,84,WSW,8,0,29.76,0.0,Fair
10:30 PM,82,75,79,WSW,8,0,29.76,0.0,Fair
11:00 PM,82,75,79,WSW,8,0,29.76,0.0,Fair
11:30 PM,82,75,79,WSW,8,0,29.76,0.0,Fair
12:00 AM,82,75,79,WSW,7,0,29.76,0.0,Fair
12:30 AM,82,75,79,WSW,7,0,29.73,0.0,Fair
1:00 AM,82,75,79,WSW,7,0,29.73,0.0,Fair
1:30 AM,81,75,84,WSW,7,0,29.73,0.0,Fair
2:00 AM,81,75,84,WSW,7,0,29.73,0.0,Fair
2:30 AM,81,75,84,WSW,8,0,29.73,0.0,Fair
3:00 AM,81,75,84,SW,8,0,29.70,0.0,Fair
3:30 AM,81,75,84,SW,6,0,29.70,0.0,Fair
4:00 AM,81,75,84,WSW,7,0,29.73,0.0,Fair
4:30 AM,81,73,79,WSW,7,0,29.73,0.0,Fair
5:00 AM,81,73,79,WSW,7,0,29.73,0.0,Fair
5:30 AM,81,73,79,WSW,8,0,29.73,0.0,Fair
6:00 AM,81,73,79,WSW,8,0,29.73,0.0,Fair
6:30 AM,81,73,79,WSW,9,0,29.76,0.0,Fair
7:00 AM,82,73,74,W,8,0,29.76,0.0,Fair
7:30 AM,84,73,70,WSW,8,0,29.76,0.0,Fair
8:00 AM,84,73,70,SW,9,0,29.76,0.0,Fair
8:30 AM,86,75,70,SW,10,0,29.76,0.0,Fair
9:00 AM,88,73,62,SW,9,0,29.76,0.0,Fair
9:30 AM,88,73,62,SW,9,0,29.76,0.0,Fair
10:00 AM,88,73,62,WSW,13,0,29.79,0.0,Fair
10:30 AM,90,75,62,WSW,10,0,29.76,0.0,Fair
11:00 AM,90,75,62,WSW,12,0,29.76,0.0,Fair
11:30 AM,91,75,59,WSW,12,0,29.73,0.0,Fair
12:00 PM,91,73,55,W,15,0,29.73,0.0,Fair
12:30 PM,91,75,59,WSW,13,0,29.73,0.0,Fair
1:00 PM,91,75,59,W,13,0,29.70,0.0,Fair
1:30 PM,91,77,63,WSW,10,0,29.70,0.0,Fair
2:00 PM,91,75,59,SSW,10,0,29.70,0.0,Fair
2:30 PM,91,75,59,SW,9,0,29.67,0.0,Fair
3:00 PM,91,75,59,SSW,10,0,29.67,0.0,Fair
3:30 PM,90,75,62,WSW,10,0,29.67,0.0,Fair
4:00 PM,90,77,66,SSW,12,0,29.67,0.0,Fair
4:30 PM,90,77,66,SSW,9,0,29.64,0.0,Fair
5:00 PM,90,77,66,SSW,12,0,29.64,0.0,Fair
5:30 PM,90,77,66,SSW,9,0,29.64,0.0,Fair
6:00 PM,90,77,66,SW,13,0,29.64,0.0,Fair
6:30 PM,88,77,70,SSW,10,0,29.64,0.0,Fair
7:00 PM,86,77,74,SSW,10,0,29.67,0.0,Fair
7:30 PM,86,77,74,SSW,10,0,29.67,0.0,Partly Cloudy
8:00 PM,77,75,94,W,12,0,29.70,0.0,Rain
8:30 PM,81,77,89,WSW,14,0,29.70,0.0,Light Rain
9:00 PM,79,77,94,SSW,9,0,29.70,0.0,Partly Cloudy
9:30 PM,81,77,89,SSW,5,0,29.70,0.0,Partly Cloudy
10:00 PM,82,77,84,WSW,8,0,29.73,0.0,Fair
10:30 PM,82,77,84,WSW,8,0,29.73,0.0,Fair
11:00 PM,81,75,84,SW,8,0,29.73,0.0,Fair
11:30 PM,81,75,84,WSW,9,0,29.73,0.0,Fair
12:00 AM,81,75,84,SW,8,0,29.73,0.0,Fair
12:30 AM,81,75,84,WSW,7,0,29.73,0.0,Fair
1:00 AM,81,75,84,SW,7,0,29.70,0.0,Fair
1:30 AM,81,75,84,WSW,8,0,29.70,0.0,Fair
2:00 AM,81,73,79,SW,8,0,29.70,0.0,Fair
2:30 AM,79,73,83,SSW,5,0,29.70,0.0,Fair
3:00 AM,81,73,79,SW,8,0,29.70,0.0,Fair
3:30 AM,81,73,79,WSW,7,0,29.70,0.0,Fair
4:00 AM,79,73,83,SSW,6,0,29.70,0.0,Fair
4:30 AM,79,73,83,SSW,5,0,29.70,0.0,Fair
5:00 AM,81,73,79,WSW,7,0,29.70,0.0,Fair
5:30 AM,79,73,83,SSW,5,0,29.70,0.0,Fair
6:00 AM,79,73,83,SSW,5,0,29.70,0.0,Fair
6:30 AM,81,73,79,SSW,5,0,29.70,0.0,Fair
7:00 AM,82,73,74,WSW,6,0,29.70,0.0,Fair
7:30 AM,84,75,74,SSW,3,0,29.70,0.0,Fair
8:00 AM,86,75,70,S,5,0,29.73,0.0,Fair
8:30 AM,86,75,70,SW,9,0,29.73,0.0,Fair
9:00 AM,88,75,66,SW,8,0,29.73,0.0,Fair
9:30 AM,88,75,66,SW,8,0,29.73,0.0,Fair
10:00 AM,88,75,66,WSW,10,0,29.73,0.0,Partly Cloudy
10:30 AM,90,75,62,WSW,12,0,29.70,0.0,Partly Cloudy
11:00 AM,90,75,62,W,9,0,29.70,0.0,Partly Cloudy
11:30 AM,90,75,62,W,10,0,29.70,0.0,Partly Cloudy
12:00 PM,90,75,62,WSW,14,0,29.70,0.0,Partly Cloudy
12:30 PM,90,75,62,W,14,0,29.67,0.0,Partly Cloudy
1:00 PM,90,75,62,W,14,0,29.67,0.0,Partly Cloudy
1:30 PM,90,75,62,W,12,0,29.67,0.0,Partly Cloudy
2:00 PM,90,75,62,WSW,9,0,29.64,0.0,Partly Cloudy
2:30 PM,90,75,62,W,13,0,29.64,0.0,Partly Cloudy
3:00 PM,91,75,59,WSW,13,0,29.61,0.0,Partly Cloudy
3:30 PM,91,75,59,WSW,13,0,29.61,0.0,Partly Cloudy
4:00 PM,91,75,59,SW,15,0,29.61,0.0,Fair
4:30 PM,91,75,59,WSW,15,0,29.61,0.0,Fair
5:00 PM,91,75,59,WSW,15,0,29.61,0.0,Fair
5:30 PM,90,75,62,WSW,13,0,29.61,0.0,Partly Cloudy
6:00 PM,88,77,70,SSW,8,0,29.61,0.0,Partly Cloudy
6:30 PM,86,77,74,SSW,10,0,29.61,0.0,Partly Cloudy
7:00 PM,86,77,74,S,9,0,29.61,0.0,Showers in the Vicinity
7:30 PM,86,77,74,SSW,9,0,29.64,0.0,Light Rain
8:00 PM,84,79,84,SSW,7,0,29.64,0.0,Mostly Cloudy
8:30 PM,86,77,74,SSW,8,0,29.64,0.0,Partly Cloudy
9:00 PM,84,75,74,SW,9,0,29.67,0.0,Fair
9:30 PM,84,73,70,SW,9,0,29.67,0.0,Fair
10:00 PM,86,73,66,SW,12,0,29.67,0.0,Fair
10:30 PM,86,73,66,WSW,12,0,29.70,0.0,Fair
11:00 PM,84,73,70,WSW,10,0,29.70,0.0,Fair
11:30 PM,84,73,70,WSW,10,0,29.70,0.0,Fair
12:00 AM,84,73,70,WSW,12,0,29.70,0.0,Fair
12:30 AM,84,73,70,WSW,12,0,29.70,0.0,Fair
1:00 AM,82,73,74,SW,10,0,29.67,0.0,Fair
1:30 AM,82,73,74,WSW,9,0,29.67,0.0,Fair
2:00 AM,81,73,79,SW,8,0,29.64,0.0,Fair
2:30 AM,82,73,74,WSW,9,0,29.64,0.0,Fair
3:00 AM,82,73,74,WSW,8,0,29.67,0.0,Fair
3:30 AM,82,73,74,W,9,0,29.67,0.0,Fair
4:00 AM,82,73,74,W,8,0,29.67,0.0,Fair
4:30 AM,82,73,74,W,8,0,29.67,0.0,Fair
5:00 AM,81,73,79,WSW,9,0,29.67,0.0,Fair
5:30 AM,81,75,84,WSW,8,0,29.67,0.0,Fair
6:00 AM,81,73,79,WSW,10,0,29.67,0.0,Fair
6:30 AM,82,73,74,SW,8,0,29.67,0.0,Fair
7:00 AM,82,73,74,WSW,10,0,29.70,0.0,Fair
7:30 AM,82,73,74,WSW,8,0,29.70,0.0,Fair
8:00 AM,84,73,70,SW,10,0,29.70,0.0,Fair
8:30 AM,84,73,70,WSW,12,0,29.70,0.0,Fair
9:00 AM,84,73,70,SW,15,0,29.70,0.0,Fair
9:30 AM,86,75,70,SW,12,0,29.70,0.0,Fair
10:00 AM,88,73,62,WSW,10,0,29.70,0.0,Fair
10:30 AM,88,73,62,WSW,13,0,29.70,0.0,Fair
11:00 AM,90,75,62,WSW,13,0,29.70,0.0,Partly Cloudy
11:30 AM,90,73,59,WSW,13,0,29.67,0.0,Partly Cloudy
12:00 PM,90,73,59,W,16,0,29.67,0.0,Partly Cloudy
12:30 PM,91,75,59,SW,21,0,29.67,0.0,Partly Cloudy / Windy
1:00 PM,93,75,56,W,16,0,29.64,0.0,Partly Cloudy
1:30 PM,91,75,59,W,16,0,29.64,0.0,Partly Cloudy
2:00 PM,91,75,59,W,13,0,29.61,0.0,Partly Cloudy
2:30 PM,91,75,59,WSW,16,0,29.61,0.0,Partly Cloudy
3:00 PM,90,75,62,S,6,0,29.61,0.0,Showers in the Vicinity
3:30 PM,90,75,62,SSW,8,0,29.61,0.0,Partly Cloudy
4:00 PM,88,77,70,SSW,9,0,29.61,0.0,Light Rain
4:30 PM,81,79,94,SSW,15,26,29.61,0.0,Light Rain
5:00 PM,82,81,94,S,6,0,29.61,0.0,Light Rain
5:30 PM,84,77,79,S,9,0,29.61,0.0,Partly Cloudy
6:00 PM,84,75,74,S,9,0,29.61,0.0,Partly Cloudy
6:30 PM,84,75,74,S,7,0,29.61,0.0,Partly Cloudy
7:00 PM,84,75,74,S,7,0,29.64,0.0,Partly Cloudy
7:30 PM,81,77,89,SSW,8,0,29.64,0.0,Light Rain
8:00 PM,77,77,100,NW,17,30,29.67,0.0,Rain
8:30 PM,75,75,100,WNW,13,0,29.70,0.0,Rain
9:00 PM,77,75,94,VAR,2,0,29.70,0.0,Light Rain
9:30 PM,79,75,89,W,5,0,29.70,0.0,Light Rain
10:00 PM,79,75,89,CALM,0,0,29.73,0.0,Light Rain
10:30 PM,79,77,94,W,5,0,29.73,0.0,Light Rain
11:00 PM,79,77,94,VAR,1,0,29.73,0.0,Light Rain
11:30 PM,77,77,100,CALM,0,0,29.73,0.0,Light Rain
12:00 AM,77,77,100,CALM,0,0,29.73,0.0,Light Rain
12:30 AM,79,77,94,SE,3,0,29.73,0.0,Light Rain
1:00 AM,79,79,100,CALM,0,0,29.70,0.0,Light Rain
1:30 AM,79,79,100,CALM,0,0,29.70,0.0,Light Rain
2:00 AM,79,79,100,CALM,0,0,29.70,0.0,Fair
2:30 AM,79,79,100,CALM,0,0,29.70,0.0,Fair
3:00 AM,79,79,100,CALM,0,0,29.70,0.0,Fair
3:30 AM,79,79,100,CALM,0,0,29.67,0.0,Fair
4:00 AM,79,79,100,CALM,0,0,29.67,0.0,Fair
4:30 AM,79,79,100,CALM,0,0,29.67,0.0,Fair
5:00 AM,79,79,100,CALM,0,0,29.67,0.0,Fair
5:30 AM,79,77,94,CALM,0,0,29.70,0.0,Fair
6:00 AM,79,75,89,CALM,0,0,29.70,0.0,Fair
6:30 AM,81,75,84,SW,6,0,29.70,0.0,Fair
7:00 AM,81,75,84,WSW,7,0,29.70,0.0,Fair
7:30 AM,82,75,79,WSW,7,0,29.70,0.0,Fair
8:00 AM,82,75,79,WSW,3,0,29.70,0.0,Fair
8:30 AM,84,75,74,SW,7,0,29.70,0.0,Fair
9:00 AM,86,75,70,WSW,9,0,29.70,0.0,Fair
9:30 AM,86,75,70,SW,10,0,29.70,0.0,Fair
10:00 AM,86,75,70,SW,9,0,29.73,0.0,Fair
10:30 AM,88,73,62,WSW,9,0,29.73,0.0,Fair
11:00 AM,88,73,62,WSW,8,0,29.70,0.0,Fair
11:30 AM,88,73,62,SW,9,0,29.70,0.0,Fair
12:00 PM,88,73,62,W,15,0,29.70,0.0,Partly Cloudy
12:30 PM,90,75,62,W,13,0,29.67,0.0,Partly Cloudy
1:00 PM,90,73,59,W,13,0,29.67,0.0,Partly Cloudy
1:30 PM,90,73,59,WSW,14,0,29.67,0.0,Partly Cloudy
2:00 PM,90,75,62,WSW,14,0,29.64,0.0,Partly Cloudy
2:30 PM,90,73,59,WSW,14,0,29.64,0.0,Partly Cloudy
3:00 PM,88,75,66,W,18,0,29.64,0.0,Light Rain
3:30 PM,88,73,62,W,14,0,29.61,0.0,Partly Cloudy
4:00 PM,88,73,62,W,16,0,29.61,0.0,Fair
4:30 PM,88,73,62,W,17,0,29.61,0.0,Fair
5:00 PM,88,72,58,W,16,0,29.58,0.0,Fair
5:30 PM,88,72,58,W,15,0,29.61,0.0,Partly Cloudy
6:00 PM,88,73,62,W,14,0,29.61,0.0,Partly Cloudy
6:30 PM,88,73,62,WSW,10,0,29.61,0.0,Partly Cloudy
7:00 PM,86,73,66,WSW,10,0,29.64,0.0,Fair
7:30 PM,86,73,66,WSW,12,0,29.64,0.0,Fair
8:00 PM,86,73,66,W,10,0,29.67,0.0,Fair
8:30 PM,86,73,66,WSW,10,0,29.70,0.0,Partly Cloudy
9:00 PM,86,73,66,WSW,9,0,29.70,0.0,Partly Cloudy
9:30 PM,84,73,70,WSW,8,0,29.70,0.0,Partly Cloudy
10:00 PM,84,73,70,WSW,9,0,29.70,0.0,Fair
10:30 PM,84,73,70,WSW,9,0,29.70,0.0,Fair
11:00 PM,82,73,74,WSW,8,0,29.70,0.0,Fair
11:30 PM,82,73,74,WSW,9,0,29.70,0.0,Fair
12:00 AM,84,75,74,WSW,7,0,29.70,0.0,Fair
12:30 AM,84,75,74,W,7,0,29.70,0.0,Fair
1:00 AM,84,75,74,SW,7,0,29.67,0.0,Fair
1:30 AM,84,75,74,W,7,0,29.67,0.0,Fair
2:00 AM,84,75,74,W,6,0,29.67,0.0,Fair
2:30 AM,84,75,74,W,6,0,29.67,0.0,Fair
3:00 AM,84,75,74,W,7,0,29.67,0.0,Fair
3:30 AM,82,75,79,WSW,6,0,29.67,0.0,Fair
4:00 AM,82,75,79,W,6,0,29.67,0.0,Fair
4:30 AM,82,75,79,W,7,0,29.67,0.0,Fair
5:00 AM,81,75,84,W,7,0,29.67,0.0,Light Rain
5:30 AM,81,75,84,W,6,0,29.67,0.0,Light Drizzle
6:00 AM,82,75,79,W,5,0,29.67,0.0,Fair
6:30 AM,82,75,79,WSW,7,0,29.67,0.0,Fair
7:00 AM,82,75,79,SW,7,0,29.70,0.0,Fair
7:30 AM,84,75,74,WSW,7,0,29.70,0.0,Fair
8:00 AM,84,75,74,WSW,8,0,29.70,0.0,Fair
8:30 AM,84,75,74,SW,8,0,29.70,0.0,Fair
9:00 AM,86,75,70,WSW,7,0,29.70,0.0,Fair
9:30 AM,86,75,70,WSW,8,0,29.70,0.0,Fair
10:00 AM,88,75,66,SW,9,0,29.70,0.0,Fair
10:30 AM,88,77,70,SW,8,0,29.70,0.0,Fair
11:00 AM,88,75,66,SW,10,0,29.70,0.0,Mostly Cloudy
11:30 AM,88,75,66,WSW,8,0,29.70,0.0,Mostly Cloudy
12:00 PM,90,75,62,WSW,9,0,29.70,0.0,Mostly Cloudy
12:30 PM,90,75,62,WSW,9,0,29.70,0.0,Partly Cloudy
1:00 PM,91,75,59,W,9,0,29.70,0.0,Partly Cloudy
1:30 PM,90,75,62,W,10,0,29.67,0.0,Partly Cloudy
2:00 PM,90,75,62,W,8,0,29.67,0.0,Partly Cloudy
2:30 PM,90,75,62,W,9,0,29.64,0.0,Partly Cloudy
3:00 PM,91,75,59,W,10,0,29.64,0.0,Partly Cloudy
3:30 PM,91,75,59,WSW,6,0,29.61,0.0,Partly Cloudy
4:00 PM,91,77,63,WNW,8,0,29.61,0.0,Partly Cloudy
4:30 PM,93,75,56,W,9,0,29.61,0.0,Partly Cloudy
5:00 PM,91,75,59,W,12,0,29.61,0.0,Showers in the Vicinity
5:30 PM,84,75,74,WNW,17,0,29.61,0.0,Light Rain
6:00 PM,82,77,84,W,12,0,29.64,0.0,Light Rain
6:30 PM,82,77,84,SW,16,0,29.64,0.0,Partly Cloudy
7:00 PM,79,77,94,SW,16,0,29.67,0.0,Light Rain
7:30 PM,77,77,100,SW,15,0,29.70,0.0,Light Rain
8:00 PM,79,77,94,W,5,0,29.70,0.0,Light Rain
8:30 PM,79,77,94,ENE,3,0,29.73,0.0,Light Rain
9:00 PM,79,77,94,CALM,0,0,29.73,0.0,Light Rain
9:30 PM,79,77,94,CALM,0,0,29.73,0.0,Light Rain
10:00 PM,79,77,94,CALM,0,0,29.76,0.0,Light Rain
10:30 PM,79,77,94,CALM,0,0,29.76,0.0,Light Rain
11:00 PM,79,79,100,CALM,0,0,29.76,0.0,Light Rain
11:30 PM,79,77,94,CALM,0,0,29.76,0.0,Light Rain
12:00 AM,79,77,94,CALM,0,0,29.76,0.0,Light Rain
12:30 AM,79,77,94,CALM,0,0,29.76,0.0,Light Rain
1:00 AM,79,77,94,SE,3,0,29.73,0.0,Light Rain
1:30 AM,77,77,100,CALM,0,0,29.73,0.0,Mostly Cloudy
2:00 AM,77,77,100,CALM,0,0,29.73,0.0,Mostly Cloudy
2:30 AM,77,77,100,CALM,0,0,29.70,0.0,Mostly Cloudy
3:00 AM,77,77,100,S,2,0,29.70,0.0,Mostly Cloudy
3:30 AM,79,79,100,CALM,0,0,29.67,0.0,Mostly Cloudy
4:00 AM,81,77,89,W,3,0,29.70,0.0,Fair
4:30 AM,81,77,89,W,5,0,29.67,0.0,Fair
5:00 AM,79,77,94,WSW,2,0,29.70,0.0,Fair
5:30 AM,79,77,94,WSW,2,0,29.70,0.0,Light Rain
6:00 AM,79,77,94,CALM,0,0,29.70,0.0,Mostly Cloudy
6:30 AM,81,77,89,WSW,6,0,29.70,0.0,Mostly Cloudy
7:00 AM,81,77,89,WSW,3,0,29.73,0.0,Mostly Cloudy
7:30 AM,81,77,89,WSW,6,0,29.73,0.0,Mostly Cloudy
8:00 AM,82,77,84,WSW,6,0,29.73,0.0,Mostly Cloudy
8:30 AM,82,77,84,WSW,8,0,29.73,0.0,Fair
9:00 AM,84,75,74,WSW,9,0,29.73,0.0,Fair
9:30 AM,84,77,79,WSW,6,0,29.76,0.0,Fair
10:00 AM,84,77,79,WSW,10,0,29.73,0.0,Fair
10:30 AM,86,75,70,W,10,0,29.73,0.0,Fair
